label_ids,predicted_label_ids,test_ids
11,2,11083
11,11,12340
13,13,12927
14,14,9789
15,15,262
8,8,1083
4,4,11206
15,9,16755
1,1,13129
2,2,7498
6,6,11600
5,5,5827
12,12,1111
14,14,8428
3,3,13802
2,2,7663
10,10,7540
12,12,5629
9,9,17972
4,4,9444
2,9,13015
13,15,3581
9,4,9147
7,7,17930
13,13,10747
5,5,4257
2,2,13356
11,11,1115
4,4,7636
14,2,8304
4,4,9132
11,11,16950
12,12,9730
1,1,4244
1,1,5473
8,8,13006
11,11,8852
11,9,8263
9,9,16875
13,13,11691
3,1,16653
5,5,16641
5,5,5785
14,14,17331
8,8,4110
13,13,5485
3,3,14610
4,4,4201
4,4,9198
5,5,5110
5,5,10046
2,2,2002
6,10,6978
15,15,17916
7,7,10281
12,13,5652
11,11,11446
14,14,8074
15,15,1560
6,6,17190
6,6,9375
6,5,11901
10,10,47
14,14,12805
8,8,4324
12,11,11066
15,15,4631
1,1,14019
14,14,11503
3,3,16082
7,7,5519
3,3,17343
8,8,7136
4,14,11106
6,6,16333
15,15,17785
10,10,347
8,8,2413
14,14,1490
3,3,3217
4,4,17580
13,13,3498
2,5,3341
4,4,17044
11,11,17438
14,14,17396
8,8,1637
4,14,11856
7,5,113
14,14,9665
11,11,14824
10,10,16680
15,15,12260
7,7,4350
3,3,2898
7,7,4607
15,15,17375
6,1,4994
11,11,2699
13,13,200
3,3,14722
8,8,3819
14,9,9418
3,15,16326
13,13,5862
7,7,795
7,7,8821
11,11,11529
14,14,11387
14,4,11975
3,3,16118
9,2,4704
15,15,245
15,15,12937
14,14,9765
7,7,7248
14,14,17606
14,14,10841
10,15,1275
13,13,9584
8,8,4747
8,8,1229
4,4,11777
3,3,2056
8,8,4226
7,7,5826
7,7,7196
14,2,11734
8,9,3406
7,7,14706
12,12,2750
2,2,9089
14,14,9938
6,6,16682
2,14,10689
15,15,9771
3,3,2575
12,12,7998
2,2,13532
6,6,1803
15,15,15264
10,10,10249
13,13,16906
5,7,14439
10,10,208
6,6,5608
5,5,16374
14,14,12862
15,15,1691
2,2,3030
7,7,18066
7,1,5790
10,5,9590
3,3,15005
11,9,12803
10,10,7706
14,8,2470
10,2,2432
11,11,9190
8,11,12257
13,13,5339
3,3,8677
3,7,151
10,10,7868
4,4,7511
14,14,11374
9,9,15223
2,2,2640
3,3,13238
4,9,7045
11,9,16100
2,2,7371
8,8,8148
5,5,5024
2,2,7225
8,8,1718
10,10,1469
15,15,16975
2,2,4053
2,4,7653
10,10,1005
10,10,14715
7,2,13448
11,11,3161
1,1,5841
14,14,10265
7,7,14792
15,15,16363
15,15,1872
2,2,727
11,11,16469
9,9,8520
7,7,716
8,8,4585
6,6,1912
7,6,17432
12,12,1882
5,5,3985
14,14,8772
14,14,2122
8,8,15920
6,6,15231
15,15,16955
11,11,13091
4,4,8386
1,1,16519
1,1,5252
7,7,14512
14,14,11706
15,15,5050
12,12,16244
12,12,17469
11,11,1292
15,15,6928
4,14,9545
8,6,12737
11,11,468
14,14,2301
11,11,4482
12,12,7250
7,7,14751
15,5,3144
8,8,8216
13,13,8497
2,2,2084
5,5,3613
5,5,5047
2,2,3209
9,9,16947
2,2,12695
14,14,7500
12,12,5948
9,9,3881
8,8,12744
9,9,10279
8,12,3872
7,7,5278
8,8,7817
15,15,13581
6,6,6693
7,7,14105
1,1,516
6,6,12847
9,9,13144
10,10,11925
15,15,4035
7,7,14238
12,12,9506
11,11,3920
15,2,11868
13,13,12662
4,4,7742
12,15,13650
7,7,6990
15,15,13682
10,10,560
14,14,8407
5,13,1765
6,6,9262
1,1,17550
10,6,5176
4,8,10618
7,7,3865
2,2,8225
14,14,13274
8,10,12713
12,12,6968
6,6,9609
10,10,12504
13,13,10266
4,12,11700
12,15,2767
14,14,8373
11,11,7264
12,12,4190
5,5,12637
6,6,6703
14,9,9542
4,4,8367
7,7,719
13,13,3675
12,12,6115
13,13,1598
6,6,3006
11,11,12116
7,7,9726
13,13,16924
10,10,1420
8,8,12661
2,2,9841
13,13,11483
6,6,7782
15,15,4901
14,14,9992
1,1,15804
14,14,9679
